motif_id	sample_id	max_AF_region_count	max_FPS_region_count
CEBPA_CEBPA_HUMAN.H11MO.0.A	ANAB5F7_basal	8	28
CEBPA_CEBPA_HUMAN.H11MO.0.A	PU24GB8_lumB	10	2
CEBPA_M08076_2.00	2GAMBDQ_norm	22	6
CEBPA_M08076_2.00	98JKPD8_lumA	12	14
CEBPA_M08076_2.00	ANAB5F7_basal	11	22
CEBPA_M08076_2.00	PU24GB8_lumB	9	3
CEBPA_M08076_2.00	S6R691V_her2	3	12
CEBPA_MA0102.4	2GAMBDQ_norm	31	3
CEBPA_MA0102.4	PU24GB8_lumB	16	4
CEBPA_MA0102.4	S6R691V_her2	1	14
CEBPA_MA0102.4	ANAB5F7_basal	12	35
CEBPA_MA0102.4	98JKPD8_lumA	15	19
CEBPB_CEBPB_HUMAN.H11MO.0.A	ANAB5F7_basal	7	21
CEBPB_CEBPB_HUMAN.H11MO.0.A	2GAMBDQ_norm	21	0
CEBPB_CEBPB_HUMAN.H11MO.0.A	98JKPD8_lumA	15	21
CEBPB_CEBPB_HUMAN.H11MO.0.A	PU24GB8_lumB	9	2
CEBPB_CEBPB_HUMAN.H11MO.0.A	S6R691V_her2	3	11
CEBPB_M07830_2.00	2GAMBDQ_norm	24	3
CEBPB_M07830_2.00	98JKPD8_lumA	18	15
CEBPB_M07830_2.00	ANAB5F7_basal	11	35
CEBPB_M07830_2.00	PU24GB8_lumB	9	3
CEBPB_M07830_2.00	S6R691V_her2	6	12
CEBPB_M07831_2.00	PU24GB8_lumB	6	3
CEBPB_M07831_2.00	98JKPD8_lumA	13	17
CEBPB_M07831_2.00	ANAB5F7_basal	8	18
CEBPB_M07831_2.00	S6R691V_her2	2	10
CEBPB_M07831_2.00	2GAMBDQ_norm	19	0
CEBPB_M07832_2.00	2GAMBDQ_norm	24	0
CEBPB_M07832_2.00	98JKPD8_lumA	15	25
CEBPB_M07832_2.00	ANAB5F7_basal	9	21
CEBPB_M07832_2.00	PU24GB8_lumB	8	3
CEBPB_M07832_2.00	S6R691V_her2	5	12
CEBPD_CEBPD_HUMAN.H11MO.0.C	2GAMBDQ_norm	23	0
CEBPD_CEBPD_HUMAN.H11MO.0.C	S6R691V_her2	4	9
CEBPD_CEBPD_HUMAN.H11MO.0.C	PU24GB8_lumB	6	2
CEBPD_CEBPD_HUMAN.H11MO.0.C	ANAB5F7_basal	9	19
CEBPD_CEBPD_HUMAN.H11MO.0.C	98JKPD8_lumA	16	28
CEBPD_MA0836.2	2GAMBDQ_norm	21	2
CEBPD_MA0836.2	98JKPD8_lumA	14	13
CEBPD_MA0836.2	ANAB5F7_basal	11	39
CEBPD_MA0836.2	PU24GB8_lumB	14	3
CEBPD_MA0836.2	S6R691V_her2	6	9
CEBPE_CEBPE_HUMAN.H11MO.0.A	S6R691V_her2	4	7
CEBPE_CEBPE_HUMAN.H11MO.0.A	PU24GB8_lumB	4	3
CEBPE_CEBPE_HUMAN.H11MO.0.A	ANAB5F7_basal	2	17
CEBPE_CEBPE_HUMAN.H11MO.0.A	98JKPD8_lumA	7	9
CEBPE_CEBPE_HUMAN.H11MO.0.A	2GAMBDQ_norm	19	0
CEBPG_CEBPG_HUMAN.H11MO.0.B	98JKPD8_lumA	12	14
CEBPG_CEBPG_HUMAN.H11MO.0.B	ANAB5F7_basal	3	21
CEBPG_CEBPG_HUMAN.H11MO.0.B	PU24GB8_lumB	6	4
CEBPG_CEBPG_HUMAN.H11MO.0.B	S6R691V_her2	9	11
CEBPG_CEBPG_HUMAN.H11MO.0.B	2GAMBDQ_norm	21	1
CEBPG_MA1636.1	PU24GB8_lumB	11	3
CEBPG_MA1636.1	ANAB5F7_basal	17	35
CEBPG_MA1636.1	98JKPD8_lumA	20	25
CEBPG_MA1636.1	2GAMBDQ_norm	32	1
CEBPG_MA1636.1	S6R691V_her2	8	24
CLOCK_CLOCK_HUMAN.H11MO.0.C	2GAMBDQ_norm	56	3
CLOCK_CLOCK_HUMAN.H11MO.0.C	98JKPD8_lumA	18	40
CLOCK_CLOCK_HUMAN.H11MO.0.C	ANAB5F7_basal	17	55
CLOCK_CLOCK_HUMAN.H11MO.0.C	S6R691V_her2	14	13
CLOCK_CLOCK_HUMAN.H11MO.0.C	PU24GB8_lumB	15	9
COE1_COE1_HUMAN.H11MO.0.A	PU24GB8_lumB	16	6
COE1_COE1_HUMAN.H11MO.0.A	S6R691V_her2	20	24
COE1_COE1_HUMAN.H11MO.0.A	ANAB5F7_basal	28	66
COE1_COE1_HUMAN.H11MO.0.A	98JKPD8_lumA	40	65
COE1_COE1_HUMAN.H11MO.0.A	2GAMBDQ_norm	57	0
COT1_COT1_HUMAN.H11MO.0.C	98JKPD8_lumA	70	46
COT1_COT1_HUMAN.H11MO.0.C	ANAB5F7_basal	42	238
COT1_COT1_HUMAN.H11MO.0.C	PU24GB8_lumB	52	16
COT1_COT1_HUMAN.H11MO.0.C	S6R691V_her2	48	44
COT1_COT1_HUMAN.H11MO.0.C	2GAMBDQ_norm	134	2
COT2_COT2_HUMAN.H11MO.0.A	PU24GB8_lumB	23	10
COT2_COT2_HUMAN.H11MO.0.A	2GAMBDQ_norm	51	8
COT2_COT2_HUMAN.H11MO.0.A	ANAB5F7_basal	16	64
COT2_COT2_HUMAN.H11MO.0.A	98JKPD8_lumA	20	26
COT2_COT2_HUMAN.H11MO.0.A	S6R691V_her2	14	16
CREB1_CREB1_HUMAN.H11MO.0.A	2GAMBDQ_norm	11	0
